Stream,SYN,FIN,LEN,DPORT,PROTO,MIRAI
stream_0_date_00:00:25_09_19_2019.pcap,0,0.25,9.5,23,6,1
stream_0_date_00:06:57_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_00:07:58_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_00:08:28_09_19_2019.pcap,0.05,0,20.36,23,6,1
stream_0_date_00:08:32_09_17_2019.pcap,1,0,0,23,6,-1
stream_0_date_00:09:29_09_19_2019.pcap,0,0.25,9.5,23,6,1
stream_0_date_00:12:01_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_00:13:02_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_00:14:03_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_00:15:04_09_21_2019.pcap,0.06,0,54.09,23,6,1
stream_0_date_00:16:32_09_19_2019.pcap,0.06,0,23.58,23,6,1
stream_0_date_00:17:06_09_21_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_00:17:33_09_19_2019.pcap,0,0.25,9.5,23,6,1
stream_0_date_00:22:12_09_22_2019.pcap,0.1,0.1,3.95,23,6,1
stream_0_date_00:26:09_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_00:32:13_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_00:41:16_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_00:43:18_09_21_2019.pcap,0.12,0,5.75,23,6,1
stream_0_date_00:44:19_09_21_2019.pcap,0,0,193.3,23,6,1
stream_0_date_00:46:20_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_00:46:42_09_17_2019.pcap,0.66,0,0,23,6,-1
stream_0_date_00:47:21_09_21_2019.pcap,0.06,0,65.8,23,6,1
stream_0_date_00:48:22_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_00:48:48_09_20_2019.pcap,0.66,0,0,23,6,-1
stream_0_date_00:48:53_09_23_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_00:49:23_09_21_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_00:51:24_09_21_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_00:54:26_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_00:55:27_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_00:57:28_09_21_2019.pcap,0.06,0,65.8,23,6,1
stream_0_date_00:58:29_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_00:59:30_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_01:00:31_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_01:02:32_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_01:05:45_09_19_2019.pcap,0.8,0,0,23,6,-1
stream_0_date_01:09:35_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_01:10:36_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_01:11:25_09_22_2019.pcap,0.09,0.09,3.19,23,6,1
stream_0_date_01:11:37_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_01:12:38_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_01:13:39_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_01:16:41_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_01:17:42_09_21_2019.pcap,0.06,0,54.09,23,6,1
stream_0_date_01:19:44_09_21_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_01:20:45_09_21_2019.pcap,0.06,0,54.09,23,6,1
stream_0_date_01:21:46_09_21_2019.pcap,0.06,0,65.8,23,6,1
stream_0_date_01:22:47_09_21_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_01:23:48_09_21_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_01:25:49_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_01:26:50_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_01:27:51_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_01:28:52_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_01:29:52_09_19_2019.pcap,0.04,0,18.41,23,6,1
stream_0_date_01:29:53_09_21_2019.pcap,0.06,0,54.09,23,6,1
stream_0_date_01:30:53_09_19_2019.pcap,0,0.2,15.2,23,6,1
stream_0_date_01:32:54_09_19_2019.pcap,0.06,0,22.15,23,6,1
stream_0_date_01:33:55_09_19_2019.pcap,0,0.25,9.5,23,6,1
stream_0_date_01:34:56_09_21_2019.pcap,0.14,0,5.57,23,6,1
stream_0_date_01:35:57_09_21_2019.pcap,0,0,115.41,23,6,1
stream_0_date_01:37:58_09_21_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_01:38:59_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_01:40:00_09_21_2019.pcap,0.06,0,65.8,23,6,1
stream_0_date_01:41:01_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_01:42:02_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_01:43:03_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_01:46:05_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_01:47:06_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_01:54:08_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_01:57:02_09_19_2019.pcap,0.05,0,37.02,23,6,1
stream_0_date_01:57:10_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_01:58:03_09_19_2019.pcap,0,0.25,9.5,23,6,1
stream_0_date_01:59:12_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_02:00:13_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_02:01:14_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_02:03:05_09_19_2019.pcap,0.05,0,3.54,23,6,1
stream_0_date_02:03:39_09_22_2019.pcap,0.06,0,54.09,23,6,1
stream_0_date_02:04:06_09_19_2019.pcap,0,0.09,11.36,23,6,1
stream_0_date_02:05:40_09_22_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_02:11:17_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_02:12:18_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_02:13:19_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_02:15:15_09_23_2019.pcap,0.75,0,0,23,6,-1
stream_0_date_02:15:20_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_02:17:17_09_23_2019.pcap,1,0,0,23,6,-1
stream_0_date_02:25:24_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_02:28:27_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_02:30:13_09_19_2019.pcap,0.06,0,55.8,23,6,1
stream_0_date_02:30:28_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_02:31:14_09_19_2019.pcap,0.05,0,20.61,23,6,1
stream_0_date_02:31:29_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_02:32:15_09_19_2019.pcap,0,0.25,9.5,23,6,1
stream_0_date_02:37:18_09_19_2019.pcap,0.05,0,20.36,23,6,1
stream_0_date_02:38:19_09_19_2019.pcap,0,0.25,9.5,23,6,1
stream_0_date_02:43:33_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_02:46:36_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_02:46:51_09_22_2019.pcap,0.06,0,51.32,23,6,1
stream_0_date_02:47:52_09_22_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_02:48:53_09_22_2019.pcap,0.06,0,51.32,23,6,1
stream_0_date_02:50:55_09_22_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_02:51:56_09_22_2019.pcap,0.06,0.06,49.71,23,6,1
stream_0_date_02:52:57_09_22_2019.pcap,0.06,0,51.32,23,6,1
stream_0_date_02:53:58_09_22_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_02:55:39_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_02:57:41_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_02:59:43_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_03:03:01_09_22_2019.pcap,0.06,0,54.09,23,6,1
stream_0_date_03:05:02_09_22_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_03:07:27_09_19_2019.pcap,1,0,0,23,6,-1
stream_0_date_03:10:48_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_03:11:49_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_03:16:51_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_03:19:05_09_18_2019.pcap,0.85,0,0,23,6,-1
